Country;Total Litres Pure Alcohol per Country;Drink type; Amount of Servings
Albania;49;Beer Servings;89
Albania;49;Spirit Servings;132
Albania;49;Wine Servings;54
Algeria;7;Beer Servings;25
Algeria;7;Wine Servings;14
Andorra;124;Beer Servings;245
Andorra;124;Spirit Servings;138
Andorra;124;Wine Servings;312
Angola;59;Beer Servings;217
Angola;59;Spirit Servings;57
Angola;59;Wine Servings;45
Antigua & Barbuda;49;Beer Servings;102
Antigua & Barbuda;49;Spirit Servings;128
Antigua & Barbuda;49;Wine Servings;45
Argentina;83;Beer Servings;193
Argentina;83;Spirit Servings;25
Argentina;83;Wine Servings;221
Armenia;38;Beer Servings;21
Armenia;38;Spirit Servings;179
Armenia;38;Wine Servings;11
Australia;104;Beer Servings;261
Australia;104;Spirit Servings;72
Australia;104;Wine Servings;212
Austria;97;Beer Servings;279
Austria;97;Spirit Servings;75
Austria;97;Wine Servings;191
Azerbaijan;13;Beer Servings;21
Azerbaijan;13;Spirit Servings;46
Azerbaijan;13;Wine Servings;5
Bahamas;63;Beer Servings;122
Bahamas;63;Spirit Servings;176
Bahamas;63;Wine Servings;51
Bahrain;2;Beer Servings;42
Bahrain;2;Spirit Servings;63
Bahrain;2;Wine Servings;7
Barbados;63;Beer Servings;143
Barbados;63;Spirit Servings;173
Barbados;63;Wine Servings;36
Belarus;144;Beer Servings;142
Belarus;144;Spirit Servings;373
Belarus;144;Wine Servings;42
Belgium;105;Beer Servings;295
Belgium;105;Spirit Servings;84
Belgium;105;Wine Servings;212
Belize;68;Beer Servings;263
Belize;68;Spirit Servings;114
Belize;68;Wine Servings;8
Benin;11;Beer Servings;34
Benin;11;Spirit Servings;4
Benin;11;Wine Servings;13
Bhutan;4;Beer Servings;23
Bolivia;38;Beer Servings;167
Bolivia;38;Spirit Servings;41
Bolivia;38;Wine Servings;8
Bosnia-Herzegovina;46;Beer Servings;76
Bosnia-Herzegovina;46;Spirit Servings;173
Bosnia-Herzegovina;46;Wine Servings;8
Botswana;54;Beer Servings;173
Botswana;54;Spirit Servings;35
Botswana;54;Wine Servings;35
Brazil;72;Beer Servings;245
Brazil;72;Spirit Servings;145
Brazil;72;Wine Servings;16
Brunei;6;Beer Servings;31
Brunei;6;Spirit Servings;2
Brunei;6;Wine Servings;1
Bulgaria;103;Beer Servings;231
Bulgaria;103;Spirit Servings;252
Bulgaria;103;Wine Servings;94
Burkina Faso;43;Beer Servings;25
Burkina Faso;43;Spirit Servings;7
Burkina Faso;43;Wine Servings;7
Burundi;63;Beer Servings;88
